STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,189.14
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,225.21
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,231.56
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,187.47
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,226.51
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,238.73
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,232.07
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,235.07
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,243.07
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,241.16
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,236.08
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,245.31
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,233.9
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,254.24
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,242.76
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,244.88
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,242.67
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,234.57
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,236.19
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,243.39
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,245.57
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,246.95
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,244.96
