maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
42.0,8.0,384.0,2106.0,4320.0,50.0,1.0,4441.0,3.0,73.0,30.0,7.0,1262.95263671875
55.0,9.0,0.0,2489.0,5135.0,8.0,1.0,3738.0,2.0,66.0,27.0,8.0,1197.6417236328125
50.0,11.0,19.0,3069.0,4780.0,39.0,1.0,5781.0,2.0,78.0,27.0,8.0,1251.7071533203125
46.0,9.0,115.0,2591.0,4786.0,40.0,1.0,4704.0,3.0,74.0,28.0,8.0,1254.4730224609375
32.0,5.0,557.0,1662.0,4078.0,74.0,1.0,3945.0,4.0,75.0,32.0,8.0,1279.5723876953125
37.0,4.0,232.0,2269.0,3304.0,16.0,1.0,3742.0,3.0,69.0,27.0,4.0,1235.364013671875
37.0,4.0,246.0,2294.0,3264.0,17.0,1.0,3866.0,3.0,69.0,28.0,4.0,1236.388427734375
37.0,4.0,243.0,2308.0,3284.0,16.0,1.0,3932.0,3.0,70.0,28.0,4.0,1234.51708984375
37.0,4.0,255.0,2281.0,3176.0,17.0,1.0,3827.0,3.0,71.0,27.0,4.0,1235.8880615234375
37.0,4.0,246.0,2314.0,3283.0,18.0,1.0,3937.0,3.0,69.0,28.0,4.0,1238.1329345703125
40.0,4.0,227.0,2335.0,3190.0,9.0,1.0,4252.0,3.0,121.0,29.0,4.0,1172.017578125
40.0,4.0,238.0,2366.0,3101.0,10.0,1.0,4153.0,3.0,119.0,28.0,4.0,1176.950439453125
39.0,4.0,279.0,2469.0,2949.0,13.0,1.0,4071.0,3.0,108.0,26.0,4.0,1199.167724609375
40.0,4.0,237.0,2352.0,3061.0,10.0,1.0,4088.0,3.0,106.0,28.0,4.0,1188.3251953125
40.0,4.0,246.0,2383.0,3078.0,10.0,1.0,4144.0,3.0,119.0,28.0,4.0,1176.769775390625
47.0,4.0,298.0,2392.0,3702.0,18.0,1.0,3817.0,5.0,70.0,30.0,3.0,1241.0860595703125
37.0,4.0,286.0,2268.0,3570.0,16.0,1.0,3793.0,3.0,67.0,29.0,4.0,1234.5224609375
45.0,4.0,312.0,2397.0,3638.0,15.0,1.0,3811.0,4.0,66.0,30.0,3.0,1236.068603515625
45.0,4.0,262.0,2320.0,3642.0,20.0,1.0,3840.0,4.0,70.0,29.0,4.0,1241.740478515625
35.0,4.0,292.0,2349.0,3620.0,17.0,1.0,3859.0,2.0,67.0,30.0,4.0,1233.5230712890625
31.0,8.0,357.0,2229.0,3643.0,10.0,1.0,2243.0,2.0,61.0,12.0,3.0,1228.3912353515625
28.0,6.0,359.0,1949.0,3667.0,13.0,1.0,2058.0,2.0,61.0,10.0,3.0,1236.980224609375
49.0,8.0,376.0,1846.0,3737.0,1.0,1.0,2375.0,3.0,53.0,11.0,3.0,1213.4312744140625
38.0,7.0,359.0,1933.0,3681.0,8.0,1.0,2179.0,2.0,57.0,11.0,3.0,1229.00732421875
38.0,4.0,249.0,1508.0,3719.0,11.0,1.0,1853.0,2.0,58.0,11.0,3.0,1238.1627197265625
39.0,6.0,266.0,2297.0,4353.0,13.0,1.0,3664.0,3.0,62.0,23.0,4.0,1233.1434326171875
39.0,6.0,286.0,2278.0,4405.0,16.0,1.0,3876.0,3.0,61.0,22.0,4.0,1239.192626953125
40.0,5.0,262.0,2302.0,3152.0,12.0,1.0,3640.0,3.0,63.0,22.0,4.0,1233.24658203125
40.0,5.0,271.0,2311.0,3023.0,15.0,1.0,3724.0,3.0,62.0,22.0,4.0,1238.5260009765625
40.0,6.0,278.0,2303.0,4557.0,16.0,1.0,3816.0,3.0,61.0,22.0,4.0,1239.18017578125
42.0,4.0,274.0,2261.0,3642.0,14.0,1.0,3618.0,3.0,66.0,26.0,3.0,1234.9913330078125
42.0,5.0,282.0,2248.0,3631.0,16.0,1.0,3608.0,3.0,68.0,25.0,3.0,1236.1954345703125
42.0,5.0,270.0,2277.0,3591.0,13.0,1.0,3628.0,3.0,63.0,26.0,3.0,1233.4527587890625
42.0,4.0,264.0,2283.0,3616.0,12.0,1.0,3647.0,3.0,63.0,27.0,3.0,1232.84228515625
42.0,4.0,274.0,2310.0,3488.0,12.0,1.0,3707.0,3.0,61.0,27.0,3.0,1233.82275390625
45.0,6.0,308.0,1943.0,3458.0,14.0,1.0,3003.0,3.0,72.0,29.0,3.0,1223.4412841796875
45.0,6.0,309.0,1940.0,3460.0,14.0,1.0,2998.0,4.0,72.0,29.0,3.0,1227.0660400390625
45.0,6.0,310.0,1942.0,3451.0,14.0,1.0,2985.0,4.0,72.0,29.0,3.0,1227.027587890625
45.0,6.0,308.0,1942.0,3459.0,14.0,1.0,3000.0,3.0,71.0,29.0,3.0,1224.386474609375
45.0,6.0,307.0,1948.0,3461.0,14.0,1.0,3025.0,3.0,71.0,29.0,3.0,1224.521240234375
34.0,5.0,640.0,1866.0,3592.0,69.0,0.0,10.0,4.0,50.0,34.0,7.0,1280.495849609375
34.0,5.0,632.0,1894.0,3630.0,68.0,0.0,10.0,4.0,50.0,34.0,7.0,1279.863525390625
