maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
155.0,33.0,5506.0,35084.0,30602.0,29.0,2.0,35118.0,45.0,249.0,405.0,24.0,1043.7637
190.0,43.0,3336.0,7320.0,4020.0,97.0,4.0,16558.0,37.0,499.0,489.0,21.0,1148.4991
33.0,19.0,5388.0,15986.0,30663.0,60.0,1.0,26951.0,34.0,424.0,187.0,26.0,1133.3356
125.0,48.0,5010.0,22287.0,44521.0,185.0,7.0,11793.0,19.0,308.0,48.0,50.0,1255.381
266.0,32.0,2525.0,9635.0,8739.0,61.0,6.0,8748.0,48.0,384.0,58.0,44.0,1191.8528
155.0,33.0,5506.0,35084.0,30602.0,29.0,2.0,35118.0,45.0,249.0,405.0,24.0,1043.7637
190.0,43.0,3336.0,7320.0,4020.0,97.0,4.0,16558.0,37.0,499.0,489.0,21.0,1148.4991
33.0,19.0,5388.0,15986.0,30663.0,60.0,1.0,26951.0,34.0,424.0,187.0,26.0,1133.3356
125.0,48.0,5010.0,22287.0,44521.0,185.0,7.0,11793.0,19.0,308.0,48.0,50.0,1255.381
266.0,32.0,2525.0,9635.0,8739.0,61.0,6.0,8748.0,48.0,384.0,58.0,44.0,1191.8528
154.0,34.0,5505.0,35085.0,30601.0,29.0,3.0,35117.0,45.0,248.0,405.0,24.0,1043.6334
191.0,43.0,6582.0,7320.0,4020.0,97.0,5.0,29358.0,38.0,499.0,365.0,21.0,1025.326
34.0,20.0,5388.0,15985.0,30663.0,60.0,1.0,26950.0,33.0,423.0,188.0,25.0,1129.3834
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,61.0,6.0,8749.0,49.0,383.0,58.0,45.0,1190.8715
1.0,34.0,5505.0,42474.0,30601.0,29.0,3.0,48932.0,45.0,248.0,405.0,24.0,1047.0101
