maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
1.0,15.0,427.0,2968.0,2967.0,11.0,9.0,323.0,22.0,412.0,77.0,16.0,1423.5
17.0,48.0,75.0,2034.0,2724.0,200.0,10.0,1678.0,50.0,486.0,1.0,32.0,1406.3
16.0,22.0,410.0,2567.0,2066.0,33.0,10.0,1484.0,19.0,1.0,1.0,20.0,1345.2
16.0,21.0,379.0,2519.0,1905.0,8.0,10.0,1494.0,23.0,1.0,24.0,21.0,1338.7
17.0,50.0,0.0,1521.0,2896.0,200.0,10.0,1667.0,50.0,500.0,1.0,32.0,1335.6
1.0,15.0,423.0,2498.0,4981.0,6.0,10.0,1.0,10.0,495.0,96.0,13.0,1333.0
17.0,50.0,0.0,1051.0,3591.0,200.0,10.0,1643.0,50.0,500.0,1.0,38.0,1309.8
18.0,13.0,583.0,0.0,19913.0,68.0,10.0,1602.0,1.0,500.0,1.0,1.0,1306.5
16.0,42.0,80.0,1221.0,3126.0,200.0,10.0,1554.0,50.0,500.0,1.0,29.0,1306.0
1.0,15.0,426.0,3188.0,2367.0,14.0,8.0,203.0,21.0,416.0,77.0,18.0,1304.0
