maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
427.0,25.0,4555.0,7918.0,27254.0,183.0,5.0,36892.0,33.0,33.0,324.0,28.0,1398.128662109375
431.0,25.0,4857.0,7857.0,28079.0,176.0,6.0,38306.0,34.0,34.0,342.0,28.0,1388.77197265625
424.0,24.0,4905.0,7695.0,27952.0,174.0,5.0,37650.0,34.0,35.0,338.0,27.0,1388.43994140625
422.0,24.0,4800.0,7730.0,27579.0,172.0,5.0,37489.0,34.0,34.0,334.0,27.0,1387.520751953125
432.0,24.0,4904.0,7861.0,28061.0,171.0,6.0,38912.0,34.0,34.0,347.0,28.0,1385.882568359375
419.0,24.0,4790.0,7686.0,27339.0,168.0,5.0,37578.0,34.0,34.0,334.0,27.0,1383.86083984375
430.0,24.0,4922.0,7833.0,27950.0,167.0,6.0,39053.0,34.0,34.0,348.0,27.0,1382.4471435546875
426.0,24.0,4786.0,7831.0,27497.0,167.0,6.0,38458.0,34.0,34.0,340.0,28.0,1382.334716796875
432.0,24.0,5025.0,7807.0,28151.0,164.0,6.0,39659.0,35.0,34.0,354.0,27.0,1379.8642578125
430.0,23.0,5080.0,7776.0,28036.0,154.0,6.0,40356.0,35.0,34.0,360.0,27.0,1372.8092041015625
