maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
497.0,29.0,1238.0,13892.0,322.0,194.0,6.0,43404.0,24.0,459.0,396.0,47.0,1076.4
225.0,13.0,4972.0,33764.0,29758.0,80.0,2.0,16326.0,25.0,209.0,482.0,39.0,1110.1
486.0,21.0,3705.0,36928.0,38730.0,55.0,3.0,35631.0,20.0,429.0,387.0,31.0,1081.8
138.0,34.0,6713.0,16628.0,25879.0,200.0,9.0,27384.0,13.0,412.0,352.0,20.0,1164.0
418.0,16.0,3615.0,24988.0,31571.0,164.0,5.0,40711.0,1.0,39.0,157.0,16.0,1119.8
299.0,38.0,4825.0,15078.0,9573.0,109.0,6.0,9052.0,41.0,361.0,64.0,47.0,1075.3
58.0,29.0,7686.0,15303.0,35351.0,37.0,7.0,35617.0,19.0,339.0,388.0,20.0,1187.1
488.0,8.0,5507.0,921.0,42493.0,68.0,8.0,33477.0,46.0,368.0,441.0,33.0,1089.7
393.0,36.0,4936.0,28486.0,40434.0,192.0,3.0,48521.0,32.0,438.0,132.0,2.0,1118.4
254.0,33.0,61.0,4694.0,2347.0,146.0,4.0,26766.0,23.0,498.0,101.0,23.0,1199.9
10.0,10.0,7512.0,6027.0,22118.0,72.0,4.0,8237.0,42.0,424.0,5.0,34.0,1159.2
28.0,45.0,1300.0,4149.0,39994.0,133.0,5.0,35744.0,19.0,245.0,460.0,40.0,1129.3
131.0,14.0,7763.0,5581.0,25506.0,157.0,2.0,5432.0,5.0,446.0,191.0,37.0,1086.7
296.0,5.0,4138.0,33616.0,24070.0,89.0,6.0,2459.0,32.0,231.0,239.0,38.0,1214.3
365.0,24.0,1981.0,41356.0,5584.0,114.0,9.0,19362.0,49.0,289.0,388.0,18.0,1096.5
57.0,30.0,598.0,332.0,28131.0,125.0,5.0,31971.0,6.0,267.0,245.0,2.0,1140.1
214.0,20.0,3818.0,33584.0,25398.0,185.0,9.0,26047.0,15.0,211.0,112.0,43.0,1210.9
387.0,4.0,3847.0,9393.0,18689.0,38.0,6.0,12232.0,25.0,496.0,44.0,14.0,1139.9
291.0,26.0,7285.0,25380.0,48360.0,188.0,2.0,3828.0,29.0,157.0,365.0,50.0,1085.7
40.0,30.0,2912.0,694.0,29541.0,62.0,5.0,36692.0,3.0,356.0,400.0,19.0,1132.1
418.0,33.0,5642.0,16476.0,12806.0,77.0,1.0,24814.0,2.0,457.0,61.0,3.0,1095.2
376.0,35.0,3561.0,4251.0,11772.0,23.0,9.0,23707.0,7.0,24.0,104.0,13.0,1101.1
292.0,15.0,7794.0,31342.0,24144.0,150.0,9.0,282.0,20.0,214.0,65.0,38.0,1149.0
412.0,42.0,5382.0,25303.0,22379.0,185.0,8.0,1232.0,6.0,225.0,100.0,41.0,1160.8
375.0,31.0,785.0,34037.0,41964.0,64.0,3.0,34753.0,23.0,61.0,131.0,20.0,1126.1
266.0,17.0,2113.0,48085.0,16965.0,66.0,4.0,13037.0,50.0,156.0,442.0,29.0,1277.8
29.0,32.0,815.0,1015.0,28588.0,3.0,3.0,44848.0,5.0,284.0,407.0,8.0,1020.0
160.0,22.0,6695.0,43833.0,11838.0,5.0,9.0,26535.0,23.0,374.0,222.0,37.0,1048.1
121.0,42.0,5365.0,30923.0,40576.0,93.0,3.0,14583.0,39.0,281.0,1.0,42.0,1017.3
89.0,17.0,7988.0,10120.0,42756.0,69.0,10.0,26136.0,23.0,340.0,392.0,1.0,1011.7
355.0,36.0,2546.0,2828.0,42273.0,199.0,7.0,39141.0,10.0,337.0,316.0,42.0,1073.3
465.0,31.0,5277.0,41448.0,8356.0,158.0,5.0,11436.0,46.0,136.0,467.0,45.0,1124.4
438.0,12.0,3145.0,33144.0,14294.0,85.0,8.0,10128.0,33.0,36.0,81.0,1.0,1021.9
137.0,50.0,78.0,23423.0,6035.0,1.0,1.0,9436.0,31.0,373.0,238.0,2.0,1011.2
138.0,43.0,5998.0,23040.0,6984.0,78.0,9.0,13989.0,13.0,366.0,325.0,11.0,1099.3
476.0,2.0,1175.0,12217.0,18978.0,194.0,7.0,34513.0,28.0,398.0,33.0,38.0,1146.7
15.0,39.0,4324.0,15886.0,23265.0,125.0,4.0,45156.0,17.0,243.0,113.0,3.0,1143.1
390.0,12.0,2846.0,5389.0,4917.0,82.0,6.0,15633.0,18.0,183.0,8.0,9.0,1076.5
30.0,26.0,7276.0,43317.0,17580.0,64.0,3.0,15028.0,20.0,433.0,42.0,25.0,1164.0
104.0,41.0,2383.0,47641.0,30716.0,179.0,5.0,10168.0,48.0,494.0,148.0,39.0,1047.4
288.0,36.0,3301.0,47745.0,19760.0,15.0,7.0,21402.0,8.0,157.0,191.0,29.0,1019.1
192.0,20.0,2530.0,25119.0,29808.0,132.0,10.0,9854.0,23.0,339.0,34.0,44.0,1167.7
286.0,20.0,465.0,5275.0,39604.0,16.0,1.0,9484.0,13.0,209.0,283.0,4.0,1134.0
38.0,32.0,7916.0,1962.0,25146.0,110.0,1.0,28688.0,46.0,316.0,256.0,28.0,1144.4
5.0,9.0,5384.0,18398.0,13071.0,148.0,8.0,13835.0,50.0,249.0,309.0,29.0,1136.8
295.0,28.0,6523.0,48693.0,36774.0,156.0,3.0,5828.0,46.0,84.0,115.0,30.0,1119.9
187.0,41.0,7104.0,32019.0,29431.0,27.0,4.0,34823.0,16.0,322.0,252.0,1.0,1020.0
312.0,35.0,4514.0,27788.0,46401.0,161.0,4.0,21056.0,25.0,285.0,77.0,1.0,1027.1
370.0,12.0,4555.0,48679.0,15306.0,180.0,9.0,9030.0,19.0,379.0,195.0,23.0,1180.2
341.0,8.0,1818.0,24857.0,2469.0,154.0,3.0,12567.0,33.0,469.0,385.0,37.0,1135.7
94.0,25.0,4072.0,39613.0,31895.0,136.0,4.0,1765.0,49.0,156.0,279.0,27.0,1143.1
211.0,24.0,7500.0,27676.0,7315.0,194.0,8.0,21712.0,46.0,174.0,492.0,19.0,1229.6
11.0,21.0,649.0,48222.0,17180.0,114.0,4.0,28119.0,2.0,227.0,480.0,48.0,1081.1
78.0,49.0,5490.0,33231.0,31912.0,67.0,2.0,47072.0,18.0,349.0,364.0,49.0,1020.6
378.0,9.0,3036.0,35545.0,47580.0,146.0,4.0,5037.0,50.0,234.0,327.0,30.0,995.3
160.0,30.0,1494.0,38588.0,22980.0,79.0,2.0,45354.0,44.0,387.0,228.0,29.0,1259.0
313.0,49.0,3722.0,1280.0,30337.0,115.0,6.0,49570.0,11.0,171.0,243.0,33.0,1169.7
325.0,33.0,4279.0,45386.0,10092.0,149.0,10.0,25797.0,31.0,305.0,291.0,19.0,1180.1
232.0,30.0,2770.0,47370.0,22542.0,96.0,4.0,32925.0,45.0,160.0,480.0,37.0,1130.2
6.0,6.0,127.0,6600.0,23706.0,140.0,6.0,29386.0,15.0,21.0,407.0,42.0,1188.6
18.0,44.0,7364.0,19245.0,28349.0,55.0,3.0,49509.0,44.0,32.0,127.0,41.0,1036.5
350.0,38.0,7973.0,781.0,45301.0,144.0,10.0,24864.0,48.0,28.0,293.0,31.0,1171.4
280.0,22.0,1237.0,10537.0,49548.0,85.0,8.0,12972.0,27.0,63.0,374.0,19.0,1084.5
177.0,21.0,3983.0,6725.0,35351.0,32.0,5.0,14644.0,2.0,16.0,330.0,32.0,1109.5
463.0,25.0,2389.0,27673.0,2725.0,30.0,5.0,26713.0,23.0,195.0,58.0,32.0,1003.8
200.0,11.0,3635.0,24854.0,44959.0,140.0,2.0,3798.0,21.0,36.0,315.0,33.0,1179.4
120.0,50.0,89.0,45742.0,22344.0,17.0,3.0,25725.0,42.0,218.0,335.0,18.0,1064.3
415.0,38.0,5242.0,17270.0,47061.0,99.0,5.0,42860.0,48.0,191.0,233.0,15.0,1113.3
341.0,30.0,7117.0,45174.0,35007.0,199.0,1.0,39270.0,48.0,267.0,91.0,43.0,1105.8
426.0,21.0,3399.0,17724.0,27572.0,84.0,7.0,33445.0,10.0,395.0,468.0,44.0,1134.4
41.0,31.0,5933.0,23196.0,16155.0,115.0,5.0,10634.0,36.0,276.0,133.0,2.0,1150.7
443.0,22.0,509.0,44613.0,8220.0,14.0,6.0,34292.0,50.0,42.0,273.0,14.0,976.1
387.0,35.0,824.0,29540.0,21107.0,46.0,4.0,9886.0,27.0,434.0,104.0,9.0,1125.5
314.0,23.0,4426.0,48639.0,9568.0,53.0,4.0,47339.0,36.0,178.0,261.0,11.0,1165.9
56.0,3.0,4912.0,47587.0,36062.0,74.0,2.0,14632.0,47.0,251.0,422.0,46.0,967.7
69.0,21.0,3827.0,2175.0,5214.0,15.0,10.0,18114.0,5.0,148.0,104.0,8.0,1145.9
391.0,9.0,6103.0,5579.0,25096.0,135.0,1.0,35737.0,2.0,263.0,488.0,33.0,974.8
