profile,qp,bitrate,crf,rc-lookahead,vbv-init,qpmax,ratetol,ipratio,pbratio,aq-mode,qcomp
baseline,66,4955,33.28155079018402,106,0.9828529579876565,12,0.7014623214619848,2969.664429174409,7682.311653175221,1,0.7293340348170442
baseline,13,4503,4.727553948722554,44,0.04170363518630327,46,0.01942637000850278,4985.1777122640315,8898.652767745654,1,0.9554236587330417
high,18,4990,31.03391054575009,51,0.4313812966898305,33,0.8059205095102631,3247.9947721217704,5336.64554356391,1,0.7632755775496887
high444,21,3205,0.6018223518365127,121,0.8390943840692063,35,0.03310454843001975,4532.442170552588,1943.1980461839516,0,0.390573956650038
high10,33,2956,38.47645085701724,88,0.7730318363575142,51,0.7805798229062835,2072.5535527668912,5377.994618012394,0,0.43542684174938273
high444,27,3996,7.009561066847244,115,0.07834659019770762,16,0.684867965217124,455.47812213862727,3793.970012382297,1,0.5913489615573716
baseline,7,3680,39.464460414518484,103,0.7359933817093209,24,0.5972426501775743,140.03529951218562,3958.919751563369,2,0.20195448383575287
high444,64,4789,11.439693710099798,239,0.9368992684773778,7,0.4289242669902017,8780.605867257325,5361.588457844933,0,0.2688657211466622
high422,55,1962,19.476909187975735,48,0.8272949047920839,8,0.09636052972521458,8544.658855686928,1352.0734255799262,0,0.2544225711169604
high444,59,4978,38.737678551264906,143,0.9785278734091045,7,0.6821528364987078,2003.2380111561843,4389.776242363879,0,0.550266504668522
high422,27,2893,11.753243430558358,76,0.845079787161359,24,0.486706579992055,8565.935819450193,9353.043908758045,0,0.23562205775655465
high422,64,2150,19.054735636507502,141,0.2513786925336474,5,0.924432324395283,7692.315334000479,9050.271239894759,2,0.3034004952526089
high422,52,2489,0.33450214024515057,120,0.029221748406662473,15,0.44926816283975557,4125.861318651088,6048.602004703433,0,0.6792079994749365
high422,47,1960,5.082144247300169,116,0.7156223526091782,15,0.16403068362958118,1817.5297105109366,7288.846507836035,2,0.47244665876710623
high444,26,1509,38.28820486533851,78,0.43298516723685343,38,0.5762122689380373,7684.356607358902,8674.438634234892,2,0.18518197423813054
high444,65,2533,36.03308507148817,75,0.17421004617952673,31,0.4954369887765455,1073.2390179787621,7928.758149092791,0,0.99143215054796
high444,54,3154,13.344163399323143,242,0.25846044282924696,18,0.5054495990906884,6535.319445516459,4510.644445655202,1,0.12600091282435366
baseline,49,2979,9.94789489565896,192,0.946322426993489,18,0.7411282738279923,8418.122095344612,722.9000385313744,2,0.11998432579702278
high422,62,1592,27.2348450907822,156,0.4440357135641997,12,0.07961824650424842,9709.365060738468,7055.668255645616,1,0.5367184589516556
high444,7,4486,35.24989392347404,107,0.18582096994499164,6,0.3490001411237723,3845.7427362388576,6846.340078644246,2,0.1879988810637231
main,36,4724,15.630201337881209,140,0.9930454668634451,29,0.21791829702792576,6463.3093020329925,6340.047796986881,1,0.7033927107480101
main,9,4228,32.742552577179346,80,0.5507384698411459,48,0.421102889747775,7019.318908474405,8620.738425232728,0,0.4909128680239956
high10,6,1782,2.64371183605999,208,0.4756313073141165,29,0.6275609481351677,5552.100838718698,1197.3090974585598,1,0.27761875363443955
high10,54,3256,22.681017370456214,104,0.12196113754476579,24,0.7645655757006005,8452.237619561007,9724.00047262903,2,0.7226815233115893
high444,68,3007,3.0912888328525696,115,0.34098254242323445,15,0.4151000047632646,8021.6689370040385,7818.957959022624,0,0.6056046309333687
high10,53,4793,32.46105920503988,250,0.464115956662678,37,0.32341802438628864,7126.782205394939,8063.236992246278,2,0.14027050779025507
high,62,4165,37.439207655130744,107,0.3394373081198724,34,0.14645803265561097,7812.86947347237,8594.305138010615,1,0.5230697379223035
main,65,3920,27.55995048810749,165,0.7646803087823775,8,0.49440887427432423,9695.32275232728,9310.326286229369,1,0.3471557993076394
high10,24,4909,33.36161284600148,216,0.5869260821371504,46,0.5101576515160171,9189.266450469973,3311.6523752166772,2,0.15731028407308245
baseline,32,2783,0.7428390281283109,197,0.7289080376777033,7,0.024633794279393384,4427.591988749622,6630.47839563075,2,0.39112756091042544
high,53,3182,50.100142481055116,97,0.6279025825049869,40,0.5714360911933472,3188.6794406783824,8974.728547516375,1,0.30400291883216357
baseline,31,2909,48.38768045725024,198,0.9789276614048584,42,0.8271599517521223,8022.6359059187425,4933.852579273898,0,0.11492491470965016
baseline,0,3397,9.659067472744242,54,0.8525436639893575,44,0.0231880002331043,858.8584739978444,9376.591243971729,1,0.499759962398895
main,10,4125,5.813928597625744,149,0.11308182331068994,40,0.1677127472523221,9644.895280067036,7104.848462469006,2,0.7403560542978609
baseline,54,2185,4.919891939553097,47,0.9789371674469299,45,0.34749849954155054,3996.628350534316,4800.606445529398,1,0.025199598157434555
high10,46,4486,50.43481311573019,98,0.6998873001369101,39,0.33569264206943683,2391.8755109365707,3733.9432503766125,2,0.10891245399782756
high422,65,4217,19.6669720321068,197,0.6189024838509359,14,0.8113712426919572,9910.822600329948,2684.3839717282804,0,0.03211989198727927
high10,35,1814,23.104181879900366,240,0.901996937276906,46,0.1766105258541869,2869.604058207813,6053.211719300357,0,0.3341288853413573
high10,53,3793,48.893579082007975,232,0.8226346885667359,31,0.35578303435583203,9542.538168936911,2982.334311671394,1,0.5726141556690293
high422,67,2789,18.45228989801752,133,0.7006850002286801,20,0.8121413747291569,4564.389814505214,2586.585076319838,0,0.5573800548895192
main,53,4300,16.23712722315679,117,0.29465273780456946,22,0.19593768800006794,8063.5176841193015,1736.4494847589008,0,0.40839963041878313
high422,35,3077,42.10967545232861,180,0.8802318126821488,45,0.42407747094594694,272.9004616274355,6225.055113113132,0,0.19483032431909375
baseline,39,4517,44.012958093303084,205,0.4635392293414169,11,0.3225296856046439,9761.946293009814,9842.412554643393,1,0.0055504784431770204
high10,58,3516,46.76585593188342,52,0.693212970421223,29,0.9669632800024238,6086.981651884723,7954.824057044134,2,0.8454980443954158
high444,60,3753,33.27801630220123,119,0.8555483039288738,31,0.9414555585555685,6025.037919149135,6555.919269587794,1,0.9027005503410548
high422,22,4665,38.31824864416006,64,0.47088965250877357,43,0.7089625679563865,3305.8259194799466,8537.7430957079,1,0.6474666688557612
high422,69,1613,19.64084468247869,88,0.3397751375040927,50,0.17918564934789127,8032.133672095946,6661.462760790743,1,0.4555449820936187
main,59,4131,24.01165980627802,142,0.7550290971617057,50,0.4027943742649105,7805.390035081728,3487.2447120673955,1,0.430881143370474
high444,46,2882,8.084805870225034,111,0.060258571540298456,29,0.27295914659368636,9779.947604087994,3784.9131152424866,2,0.9229466692027366
baseline,34,4447,30.84881493695592,75,0.06845635978220677,28,0.059914663599875295,237.2692305807078,2323.679532386126,2,0.4287206712667172
main,46,1926,14.734970485830743,51,0.5742810114710256,37,0.05520477235610333,6849.831452642164,3986.667044957757,0,0.7054906246004613
high10,43,1999,37.470047437509365,97,0.2757743791969576,41,0.9980090336375046,3156.718560955032,2877.326841538812,2,0.009927976414339734
high444,15,1750,16.688073599432514,180,0.012253643091992616,1,0.983859332717709,8744.475691200802,1716.194539773921,2,0.5628536422112866
high10,67,1697,17.415213340344014,165,0.8711489547896101,6,0.28543515300481226,6217.309732211387,7741.0227846949365,0,0.3005899614630091
high422,5,4694,1.7254444509815887,161,0.2871856705380279,18,0.8320553638379712,5728.149707775262,6740.838076751797,0,0.5624976730098726
high10,20,2766,30.557510518600786,44,0.09515192777466897,40,0.30163896351928055,5569.283240860179,8270.428238299517,0,0.46874247501020605
high444,9,4994,7.7349954797503955,44,0.08000503966972206,16,0.4095433061790348,826.8993749511577,5535.758620192465,0,0.6792417638184755
baseline,58,2053,33.62891977296327,224,0.2349039472455864,37,0.8061950311187542,8377.677975577892,2983.985555211992,2,0.9766217531980096
high,60,3768,24.610560247450575,197,0.23206754120944761,17,0.7810508046638489,777.3700434522168,316.85001013590175,2,0.8318525877741134
high422,29,4164,38.27523606460189,62,0.279047575133045,45,0.004511323359903452,8279.36481878932,4326.643898414279,0,0.7762986408132924
main,0,3694,48.037668996048055,155,0.3505406059406687,36,0.3860025478564346,4968.460826347626,2104.1091763694462,1,0.14525973652873625
high444,12,1883,20.87983259227596,212,0.7111298694722379,40,0.9696186005881756,5912.052092878957,921.1224631480242,1,0.9472568635614226
high10,42,4149,4.557098135759537,47,0.20867987536782573,16,0.8040388210834982,5786.544278337598,6063.7532470710275,2,0.9449528857834021
high10,28,3086,29.976549479402028,183,0.9788777896732285,30,0.9460875535537274,1325.7281829106337,2613.4705537606937,0,0.305623509590383
high444,27,4185,36.96123384410149,228,0.10962431661978889,13,0.3603128148675907,4526.281748150131,1142.2425002725645,0,0.8004263027681057
high10,26,4095,31.52544369436368,115,0.15794874484742216,12,0.8198580693906862,8184.658768292546,6514.443946591795,1,0.08985098577335515
high10,20,4871,18.937091073004765,130,0.7425497472367927,25,0.4543935667393698,4226.8393417957905,5904.384490863518,1,0.5731715652613214
high422,61,3514,7.138773011991468,108,0.4696074539528633,42,0.7827946515927036,4598.163112594661,6481.708326884757,2,0.5683038433303591
main,16,2831,21.541920006605412,103,0.34252997523728856,23,0.39121874699599457,3199.3519877603917,8416.88351151953,1,0.9625720886810848
main,56,4766,12.425471028911947,185,0.22592678620304607,30,0.9567087970926693,5753.942241247378,6574.042392013639,1,0.4983925845877515
high,36,4892,43.848798683080894,107,0.3214331747734088,0,0.20342069453762468,5685.199266867465,7374.575147656489,2,0.30246277901224083
high,39,3864,9.382566908513107,55,0.24472451258337946,30,0.07995065778267663,8860.533338138077,3614.952060403791,2,0.9535650395642882
high422,6,3008,47.52260349725864,171,0.6363378659603407,41,0.7841326141757582,2849.27863172755,8982.726849990484,0,0.5114471068555492
high,61,3074,25.582640165301243,162,0.9037037013386365,31,0.4821109271957982,1349.939264276162,2454.085380317097,0,0.37343348300027246
main,23,4677,27.361195570012125,163,0.41936006636015455,42,0.9723148051253154,6726.640168620675,5421.222777865438,2,0.3258214481962707
high422,69,3189,28.79476086660817,179,0.2823836267686982,12,0.9209949769364593,5821.226319852551,3044.2462637184185,1,0.20380472737017097
baseline,17,2417,50.01677045676323,239,0.6577394794404512,29,0.9934414777156185,2070.6561931278034,4687.827735278109,2,0.22600713612943624
baseline,58,2924,34.70504415348605,209,0.3746620227980759,14,0.8792598910025422,9163.792794675433,1484.0885948417304,2,0.3340488951966035
high422,5,3570,40.273990068012964,78,0.265550720953566,51,0.0933425312766335,4879.404324433659,3648.8368479932797,1,0.6500754654462025
high10,57,3853,15.688820990857304,160,0.3288071095781324,10,0.6886108528532401,4091.970996720329,9237.118827345766,1,0.04614084830573728
high422,33,3237,2.2807615240523917,162,0.6808311035835145,42,0.44282561800670717,1266.7805411090383,5733.892437911141,0,0.7272959969790946
high10,0,1858,50.91236353134087,167,0.3149622702906606,32,0.8955187782419086,2384.9254313526503,3557.5021144969987,2,0.3921996326029977
baseline,59,2675,37.80216900558242,103,0.1472649263807918,0,0.7742930452218898,2387.694858239442,2623.2067459292616,2,0.7080260659492397
baseline,23,1773,10.479707369468413,184,0.04691822995807082,5,0.9538314747228754,2730.399102156169,6954.946080154186,1,0.9279798768520656
baseline,15,2920,30.216532274841256,46,0.8114233932097779,19,0.34891728877624184,7923.677411282975,3627.664885430898,1,0.993858203844349
high,59,3734,1.6829095025554284,43,0.5290189626222317,24,0.5777695649674406,55.995172543120695,3922.3460101797914,1,0.409228165897807
high10,40,3964,1.334767010137481,229,0.18774675457988488,34,0.1805642876082405,9425.730250104207,3158.4501837871203,0,0.9269859343359428
high10,53,2799,21.66865728371201,72,0.7326494105179409,33,0.07393978516581956,1967.1541414574601,5499.409620890694,2,0.10603311028013507
high422,48,3698,6.42816435956107,107,0.3707228781339208,30,0.1925271145836105,8964.149077953742,4473.624582702754,0,0.52497710125542
high422,8,3397,14.454263320176384,229,0.9447138930735998,1,0.3136833364550773,5086.280161802512,4052.3290159629487,0,0.0763540385841951
high444,58,2559,10.847145806130303,153,0.8186159338053716,9,0.7000616944697965,4981.175854537137,3041.285789002135,2,0.9605570042474902
baseline,45,4360,44.95956089387137,138,0.5667768259600028,17,0.4146658246408499,9560.842477403032,1141.6745884718725,1,0.46973335967595653
main,48,2300,48.21895917944387,124,0.8193119014357653,51,0.4796274979448397,9064.95539472787,4237.339562231225,1,0.28947260663766394
main,66,2806,13.651971775944189,242,0.06520500804655449,1,0.7947548123086318,5995.21680956836,3079.5221209050683,0,0.2441917143350839
main,31,4582,40.55535033701859,42,0.6400690117578371,47,0.15364313487268244,4532.322990431602,578.6404905014398,2,0.2050302059325283
baseline,61,4333,8.598118657371401,143,0.5166911682252722,31,0.004907464997837008,9784.954898380094,2040.6417423354762,1,0.5970159274937424
high422,56,2285,22.43819691112627,83,0.4294674501581437,49,0.41271820556331873,1202.8421379617748,5332.434087128709,1,0.1716821272762128
main,46,3179,43.190021347113586,222,0.13669710973247728,37,0.4383083757642402,9210.621140047426,2263.6160617165046,1,0.4059238070269907
high444,55,3710,5.908475942409038,212,0.4252634546179559,33,0.3786987331802867,2798.174640816462,5212.021802040894,2,0.0064248403299201895
high10,61,1751,31.810280138362817,227,0.9180790566968103,9,0.9787687630016454,4217.615907196924,498.95733983830735,0,0.7259028919542742
main,66,1766,9.420934298257189,93,0.9578370319839845,47,0.40746848404944724,2490.0140990392892,3535.8030993207167,0,0.6077492733960895
high,24,4495,15.013677098858627,224,0.34714375839714684,12,0.05413396921385871,2504.9437981423007,1130.7621403599856,2,0.5093644806051777
high,0,2963,41.895652911858086,66,0.553847117900814,10,0.5428022844154784,4152.4520531059225,8332.96406782983,1,0.6409909410632033
high,19,4171,29.683878273532255,141,0.13270797065506912,6,0.8710076712152233,7520.013598249589,3577.0037626147287,2,0.25901826951644513
high444,42,4328,49.188983850740584,103,0.40153130076371024,23,0.06879713014040556,6736.837434412962,7882.126185183594,2,0.3594834616140147
high422,57,3553,3.3513419811163874,128,0.8226191419817015,39,0.10660108204009533,5201.293902911924,8688.69949724903,2,0.9708411725097189
high422,19,1886,27.360188701256625,163,0.048078636893231774,19,0.8374036972990723,354.11984487709327,4090.4914476286103,0,0.962392888742269
high422,22,3110,42.259603987089164,188,0.866924936820883,25,0.4914690264004129,4629.34476296473,4044.634777894768,1,0.592668190788662
high422,68,2013,33.389008086534766,88,0.08862515863088993,4,0.5896807585364936,2772.9168040014406,4467.9001495662915,2,0.3047902782843398
baseline,62,3902,13.053893073849848,87,0.09527600787111612,14,0.8104360996936589,9789.839534194893,7932.607552284208,1,0.36440996017325444
high444,3,4224,45.18440174154515,177,0.44111895090442543,26,0.09464481730456997,8772.998513541783,893.0436392631768,1,0.7481177248071078
high444,12,4656,14.17974614722295,165,0.597179089132987,30,0.6609105218683822,279.44247746635284,3415.203970386023,1,0.8514880636150106
high10,52,3130,25.5663982552791,130,0.5970522560674509,12,0.7089634686185229,4446.006444487552,9766.37406080338,1,0.10060344001931265
main,21,2386,5.146793224687734,175,0.9669853537815573,28,0.6649224941207927,670.19394834682,5147.346336446819,1,0.5271574893194535
baseline,54,4759,0.40358334223222203,86,0.6587314999322161,41,0.9304409048161905,5741.919159222112,542.3319611422639,1,0.02393734082701937
main,59,3771,18.510053646102538,236,0.8396147750708345,46,0.9085744159850496,3381.951774138695,1904.100213531199,1,0.058550575068497035
baseline,65,3472,27.607846269615177,147,0.88599770576612,9,0.13883347971416127,172.59006334110705,328.08108040946917,0,0.021984754274549156
baseline,51,3740,5.424117275964049,98,0.5490841074260653,13,0.49316694467304956,6730.282934886026,2388.660350028132,2,0.021871235298573155
high,0,4666,6.203398284226606,116,0.2412510319512896,32,0.9501023630862481,6151.867785186381,7913.25208829652,0,0.9243060893292679
high,26,3104,3.396968952142061,210,0.8335357812262583,13,0.8997147232406562,5833.1743323284645,4073.137930330869,2,0.6171255462715484
high,66,1648,23.905390026946485,193,0.827698969960476,44,0.1693733251892391,2515.9302113382632,192.02067427866675,2,0.8678772843271196
high422,38,1834,31.167817817308528,132,0.955107922850242,51,0.06761737982183291,1243.4697792797322,7820.849929400738,0,0.10345907126218956
high422,5,4960,32.75296482539178,185,0.27038841961822,24,0.07995951901224074,2696.982570779073,8469.519542976908,1,0.3283885745745577
high10,40,3317,39.030932226775775,185,0.14389459251040504,20,0.4579204832590602,1163.9866953034073,199.61077411652428,1,0.27923642601680954
high,44,4085,29.870203994003518,74,0.7337015451109735,9,0.027576858430843676,9359.49681406344,9562.554522994802,2,0.8979718922407309
high444,44,3230,26.93996093967661,188,0.21356137102677375,10,0.4436929883011951,1259.6531518676845,9538.44781892083,2,0.4123040932971328
baseline,13,2070,9.5314528385682,106,0.7833586752632542,39,0.008569143075808694,3644.2906782743944,9541.225740738439,1,0.14969021575367003
high422,41,3852,13.094011634043122,76,0.9082358051660715,15,0.5350145898923161,4489.1426251662,1653.8607149757079,2,0.7875377283528101
main,11,3744,49.89674259740568,238,0.17317362770479505,39,0.7932312813267004,5730.435581934308,8567.988622373194,1,0.7944848086146922
high10,3,1890,25.402791283449158,78,0.3533220593698284,49,0.03536705220966696,1583.7806895595795,286.1271951931832,1,0.021414918416714723
high444,69,4347,27.348209491346676,111,0.9412076553735323,42,0.42923434410613104,7798.508523535926,727.3422130172158,1,0.47670507424123487
baseline,43,2025,8.626198905619558,141,0.5982117857247962,29,0.14351144317633135,151.85776517383954,5612.284947746111,1,0.4133821139728854
high10,47,2028,37.24410858724141,83,0.7240364394479453,28,0.9912689912973736,8929.861607230749,4710.105453105911,0,0.7250905868881931
high10,3,2005,20.71740715097527,187,0.3292338253339442,14,0.8920594877357362,7849.55783080091,6765.167357131982,1,0.2017218917071435
high10,15,2413,7.838510818459735,142,0.4085097653357386,19,0.04121800167146317,7078.966720582317,5931.270504867121,0,0.7506060681915383
high10,48,4282,22.249363171128337,117,0.12263434112045457,36,0.2638899266928366,5403.362785368565,852.9712521172117,0,0.9734953243860238
baseline,56,2082,2.223083084554424,172,0.2544888765207898,17,0.015349915767366329,9633.372456712888,9818.155918850041,0,0.04528335336641354
high10,22,2699,41.80046625753812,70,0.9615889197145728,28,0.218090291142928,5644.690764199933,3363.4748365345336,1,0.9012892661621087
high10,68,4251,35.74785368333243,84,0.9426117891898744,8,0.3192917726636131,720.689638517571,5518.73471716771,1,0.07677021853144927
high422,46,2498,41.626535259085955,166,0.8681344584025018,13,0.3886205427448065,4559.775632579071,7343.41817743209,1,0.2980678181440449
high,1,4774,32.23050958462521,122,0.4607522373721161,13,0.11481545104472968,6017.928303366772,2052.4150323691692,2,0.5254871712400422
high422,15,4890,6.371231578324994,117,0.5083325618241141,21,0.47645400160368234,6588.799778908921,9479.965302228455,0,0.4939158991915644
high422,68,4236,22.061012459782926,142,0.3662110104501374,18,0.38568005785956894,9889.30721448956,1687.1359036692436,1,0.4996453960362449
main,58,3394,37.94485679137518,216,0.7778575775826136,44,0.6500348155176788,9010.384672437478,2251.046497270204,2,0.9599709548105769
high,58,2837,43.9085110056328,208,0.5849610547038266,37,0.3270397883718449,420.8432779133731,4541.341562748798,2,0.7344655927092119
high444,28,4056,42.978827413558776,238,0.4014627995460165,24,0.05621984952809922,9076.21009628329,2339.4119616215826,2,0.4096515469543016
high444,5,4059,7.67157111438616,99,0.9546341511916189,48,0.03655214409079299,3126.7464154793724,1731.2885156892864,0,0.6986737045711175
high422,1,4607,7.588977900696317,118,0.16897021112439414,27,0.7605235809917114,6681.524574936731,5692.114378584165,1,0.34629243407199317
high,49,4261,20.612426692173266,143,0.11894468652002377,28,0.9386120855658593,9371.6849796002,7161.735167381718,2,0.6947792951951176
high,54,1827,20.0748570158166,118,0.9043015266036182,36,0.7522805614897667,7786.303826809265,3693.8458460952183,1,0.3955699348508328
high,61,2822,35.5039222386847,191,0.20212899393789252,48,0.9459383136356845,2188.6967486140197,1128.6238833878792,1,0.9462843239697032
baseline,40,2284,6.8360859742895315,236,0.4523095128895396,16,0.9604645241442572,9245.721984371437,967.554895094751,0,0.6031758142431103
high422,3,2703,48.9610550532512,214,0.12227608792849809,33,0.4723535315197298,3440.0455119319186,8840.7466310161,2,0.6078193872277013
high444,57,2493,37.89484486728461,89,0.002306202345110364,38,0.12236176928169684,3283.886510637034,4228.055127832377,0,0.9126853556319675
main,31,1823,30.299168043268374,57,0.9564296912371895,31,0.8246504299315713,5592.128587272467,6027.201859155546,0,0.17173755287985515
high422,42,2222,44.98806778867167,151,0.9177840731589073,12,0.5134544228271218,3592.2495316997038,7619.480863678452,2,0.20173861062061416
high,7,4472,21.70860310150376,164,0.25324797045959657,29,0.9935866524408169,7627.35931629216,1782.1083834835983,0,0.2570190637633948
high444,7,4892,48.62208540653846,62,0.21560073502651278,40,0.4699648934376961,5588.317396804951,7705.144567637536,2,0.33981529232070673
high444,56,2346,17.776070756186932,145,0.7637602921312933,8,0.21155282313394752,5689.6159872132075,7425.914707360856,0,0.7921855890383305
high,49,3932,23.155695580647336,170,0.6630259003563739,5,0.7871058509605284,6616.313364408555,8410.716619288392,2,0.46026178440607934
high422,9,2578,34.21473899922258,57,0.5617944568872932,40,0.9020114376343906,3542.7783391455237,8229.412661688059,0,0.8429399749919086
high422,44,1776,13.598438365508443,238,0.5649605806247137,24,0.7157116452401111,5642.915914759093,6435.22409439724,1,0.6766588881115247
baseline,62,3020,6.398646899532453,214,0.8750055707283794,23,0.9968086024256707,982.9838453833551,2699.3243436345306,1,0.540790853687823
high422,40,4631,22.894259237604278,66,0.8573657568567744,19,0.10532709748208247,5968.600358480046,9418.599765707946,0,0.9548259624308273
baseline,3,2800,49.091930469649306,42,0.9512481791810761,44,0.8675609221777074,1701.367462762957,2065.0398957672446,0,0.23945280310500783
high10,33,4631,15.074851607682424,184,0.6374999109628483,21,0.4095877406570624,7837.367012789837,6415.05452616568,0,0.9650655694234901
main,15,3226,42.97154084185694,190,0.9891409061301935,46,0.3226609641657082,9681.594293093563,8632.172238135,2,0.3990327299368912
