no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,0,1,0,1,1,0,94,8,5535.45
0,0,1,0,0,1,0,44,3,3649.6
0,0,1,0,0,1,0,43,2,3662.1
0,0,1,0,1,1,0,48,4,5478.91
0,0,1,0,0,1,0,40,1,3812.38
0,0,1,0,1,1,0,45,6,5470.37
1,0,1,0,1,1,0,42,7,5535.86
1,0,1,0,1,1,0,40,9,5529.93
0,0,1,0,1,1,0,43,7,5468.78
1,0,0,0,1,1,0,83,9,5453.65
0,0,1,0,1,1,0,40,1,5680.22
1,0,0,0,1,1,0,65,9,5453.65
0,0,1,0,1,1,0,44,1,5680.22
1,0,1,0,1,1,0,52,8,5535.45
1,0,1,0,1,1,0,40,9,5529.93
1,0,1,0,1,1,0,40,9,5529.93
1,0,1,0,1,1,0,40,9,5529.93
1,0,1,0,1,1,0,40,2,5567.87
1,0,1,0,1,1,0,59,9,5529.93
1,0,1,0,1,1,0,40,1,5768.22
1,0,0,0,1,1,0,40,1,5688.78
1,0,1,0,1,0,0,42,3,-1
1,0,1,0,1,0,0,44,1,-1
1,0,1,0,1,1,0,47,1,5768.22
1,0,1,0,1,0,0,40,2,-1
1,0,1,0,1,1,0,46,1,5768.22
1,0,0,0,1,1,0,51,1,5688.78
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
0,0,1,0,1,1,0,48,1,5680.22
1,0,1,0,1,1,0,45,1,5768.22
0,0,1,0,1,1,0,48,1,5680.22
1,0,1,0,1,1,0,40,1,5768.22
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
0,0,1,0,0,0,0,1,0,3130.96
