no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1.0,0.0,1.0,1.0,1.0,1.0,1.0,118.0,2.0,5608.7
0.0,1.0,1.0,0.0,0.0,1.0,0.0,240.0,9.0,4371.59
1.0,1.0,1.0,1.0,1.0,0.0,0.0,250.0,6.0,6516.96
0.0,0.0,1.0,0.0,0.0,0.0,1.0,126.0,7.0,3632.3
1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,5.0,3659.42
1.0,1.0,0.0,0.0,0.0,0.0,1.0,64.0,7.0,4341.72
0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,4.0,3622.77
1.0,1.0,0.0,0.0,0.0,1.0,0.0,228.0,2.0,4399.48
0.0,0.0,0.0,1.0,1.0,0.0,1.0,85.0,2.0,5473.09
0.0,1.0,1.0,1.0,1.0,1.0,1.0,166.0,4.0,6660.88
1.0,0.0,1.0,1.0,1.0,1.0,1.0,118.0,2.0,5608.7
0.0,1.0,1.0,0.0,0.0,1.0,0.0,240.0,9.0,4371.59
1.0,1.0,1.0,1.0,1.0,0.0,0.0,250.0,6.0,6516.96
0.0,0.0,1.0,0.0,0.0,0.0,1.0,126.0,7.0,3632.3
1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,5.0,3659.42
1.0,1.0,0.0,0.0,0.0,0.0,1.0,64.0,7.0,4341.72
0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,4.0,3622.77
1.0,1.0,0.0,0.0,0.0,1.0,0.0,228.0,2.0,4399.48
0.0,0.0,0.0,1.0,1.0,0.0,1.0,85.0,2.0,5473.09
0.0,1.0,1.0,1.0,1.0,1.0,1.0,166.0,4.0,6660.88
1.0,0.0,1.0,0.0,1.0,1.0,1.0,118.0,1.0,5769.25
0.0,0.0,1.0,1.0,0.0,1.0,0.0,240.0,9.0,3724.55
1.0,0.0,1.0,0.0,1.0,0.0,0.0,250.0,6.0,5515.73
0.0,0.0,1.0,0.0,0.0,0.0,1.0,127.0,7.0,3634.63
1.0,0.0,1.0,0.0,0.0,1.0,1.0,91.0,5.0,3687.4
