no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,1.0,6935.69
1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,1.0,6903.55
1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,6903.55
0.0,1.0,0.0,1.0,1.0,1.0,1.0,52.0,1.0,6845.16
0.0,1.0,0.0,1.0,1.0,1.0,1.0,51.0,1.0,6845.16
0.0,1.0,0.0,1.0,1.0,1.0,1.0,40.0,1.0,6845.16
1.0,1.0,0.0,1.0,1.0,1.0,1.0,51.0,1.0,6814.93
1.0,1.0,0.0,1.0,1.0,1.0,1.0,42.0,1.0,6814.93
0.0,1.0,0.0,1.0,1.0,1.0,1.0,46.0,2.0,6655.62
