no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
0.0,1.0,1.0,0.0,1.0,1.0,0.0,115.0,1.0,6908.72
1.0,1.0,1.0,0.0,1.0,1.0,1.0,91.0,1.0,6873.83
1.0,1.0,0.0,1.0,1.0,0.0,1.0,52.0,1.0,6814.93
0.0,1.0,1.0,0.0,1.0,1.0,0.0,51.0,2.0,6678.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,207.0,3.0,6644.06
0.0,1.0,0.0,1.0,1.0,1.0,1.0,237.0,4.0,6638.02
0.0,1.0,0.0,1.0,1.0,1.0,0.0,40.0,4.0,6635.1
0.0,1.0,1.0,0.0,1.0,1.0,1.0,176.0,6.0,6634.96
0.0,1.0,1.0,1.0,1.0,0.0,0.0,67.0,7.0,6633.7
1.0,1.0,1.0,1.0,1.0,0.0,1.0,232.0,2.0,6615.8
0.0,1.0,1.0,0.0,1.0,1.0,1.0,50.0,9.0,6612.78
0.0,1.0,0.0,1.0,1.0,1.0,1.0,56.0,7.0,6611.48
0.0,1.0,0.0,1.0,1.0,1.0,0.0,166.0,8.0,6609.57
0.0,1.0,0.0,1.0,1.0,1.0,0.0,105.0,9.0,6603.91
1.0,1.0,1.0,1.0,1.0,1.0,0.0,202.0,6.0,6602.63
0.0,1.0,0.0,1.0,1.0,0.0,0.0,212.0,4.0,6597.05
1.0,1.0,1.0,1.0,1.0,0.0,1.0,178.0,3.0,6594.16
1.0,1.0,1.0,1.0,1.0,0.0,0.0,209.0,3.0,6591.95
0.0,1.0,0.0,0.0,1.0,1.0,1.0,166.0,3.0,6579.48
0.0,1.0,1.0,0.0,1.0,0.0,0.0,220.0,7.0,6577.72
1.0,1.0,1.0,1.0,1.0,0.0,1.0,127.0,5.0,6567.94
0.0,1.0,1.0,0.0,1.0,0.0,0.0,147.0,9.0,6566.72
0.0,1.0,1.0,0.0,1.0,0.0,1.0,120.0,9.0,6565.96
0.0,1.0,0.0,1.0,1.0,0.0,0.0,97.0,9.0,6559.42
1.0,1.0,0.0,1.0,1.0,0.0,0.0,122.0,2.0,6554.58
1.0,1.0,1.0,0.0,1.0,0.0,0.0,142.0,3.0,6550.72
1.0,1.0,1.0,0.0,1.0,1.0,0.0,219.0,8.0,6548.23
0.0,1.0,0.0,0.0,1.0,0.0,0.0,231.0,3.0,6540.24
1.0,1.0,0.0,1.0,1.0,1.0,0.0,216.0,9.0,6530.08
1.0,1.0,1.0,1.0,1.0,0.0,0.0,81.0,10.0,6526.28
0.0,1.0,0.0,0.0,1.0,0.0,0.0,57.0,5.0,6517.56
1.0,1.0,1.0,0.0,1.0,0.0,0.0,115.0,5.0,6516.14
1.0,1.0,0.0,1.0,1.0,0.0,0.0,185.0,7.0,6492.6
1.0,1.0,0.0,1.0,1.0,0.0,0.0,42.0,8.0,6482.19
1.0,1.0,0.0,0.0,1.0,0.0,1.0,92.0,3.0,6472.3
1.0,1.0,0.0,0.0,1.0,1.0,0.0,89.0,8.0,6465.88
1.0,1.0,0.0,0.0,1.0,0.0,0.0,165.0,9.0,6412.84
1.0,0.0,0.0,1.0,1.0,1.0,0.0,198.0,1.0,5758.36
0.0,0.0,1.0,0.0,1.0,1.0,1.0,234.0,1.0,5718.84
1.0,0.0,1.0,1.0,1.0,1.0,0.0,223.0,2.0,5640.13
1.0,0.0,1.0,1.0,1.0,1.0,0.0,162.0,2.0,5640.13
1.0,0.0,1.0,1.0,1.0,1.0,0.0,210.0,3.0,5639.02
1.0,0.0,1.0,1.0,1.0,1.0,0.0,87.0,4.0,5633.09
0.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,1.0,5632.73
1.0,0.0,1.0,1.0,1.0,1.0,0.0,111.0,7.0,5615.21
1.0,0.0,1.0,0.0,1.0,1.0,1.0,145.0,2.0,5613.83
1.0,0.0,1.0,1.0,1.0,1.0,0.0,182.0,8.0,5612.72
1.0,0.0,1.0,1.0,1.0,1.0,0.0,52.0,10.0,5606.69
1.0,0.0,1.0,0.0,1.0,1.0,0.0,214.0,2.0,5605.64
1.0,0.0,1.0,1.0,1.0,0.0,0.0,76.0,4.0,5603.93
