no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,0,0,1,0,0,0,52,1,-1
0,0,0,1,0,1,1,182,9,-1
0,0,0,1,0,1,1,144,1,-1
0,1,1,0,0,0,1,60,7,-1
1,1,0,0,1,0,1,220,4,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,196.0,1.0,3833.98
1,0,0,1,1,1,1,92,3,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,185.0,2.0,5567.87
0,1,0,0,0,1,0,49,3,-1
1,0,1,1,0,1,0,174,1,-1
1,0,1,1,0,0,0,126,3,-1
0,0,0,1,0,1,1,83,9,-1
0,1,1,1,0,0,0,243,3,-1
0,1,0,0,0,0,1,132,7,-1
1,1,0,1,0,1,0,166,8,-1
0,1,0,1,0,1,0,102,7,-1
0,1,1,1,0,0,0,225,6,-1
1,1,1,1,0,1,0,202,6,-1
0,1,0,0,1,0,0,153,7,-1
0,1,0,1,1,0,1,170,2,-1
1,0,1,0,1,0,1,152,7,-1
0,1,1,1,1,0,1,232,8,-1
1,1,1,1,1,0,1,84,2,-1
1,1,1,1,1,1,1,147,6,-1
1,1,0,0,1,0,0,50,2,-1
0,0,1,0,1,0,0,40,5,-1
1,1,1,1,1,0,1,250,2,-1
1,0,0,0,0,0,1,80,8,-1
0,1,0,1,1,0,1,237,8,-1
0,0,0,1,1,0,0,206,9,-1
1,1,1,1,1,1,1,179,4,-1
1,0,0,1,0,1,1,95,9,-1
0,0,0,1,1,1,0,156,5,-1
1,1,1,1,1,0,0,197,6,-1
1,1,0,1,0,0,0,206,7,-1
0,1,1,1,1,1,0,152,3,-1
0,1,1,0,1,0,1,64,5,-1
0,1,0,1,0,1,0,67,5,-1
0,1,0,1,1,1,1,163,1,-1
0,1,1,0,0,1,1,143,9,-1
0,0,0,1,1,0,1,242,2,-1
1,1,1,1,0,1,1,57,4,-1
0,1,1,1,0,0,1,46,9,-1
0,1,0,0,1,0,1,188,9,-1
1,0,1,1,1,1,1,93,6,-1
1,1,1,0,1,1,1,148,5,-1
1,1,1,0,1,1,0,69,5,-1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,3.0,3708.32
0.0,0.0,0.0,0.0,1.0,1.0,0.0,175.0,8.0,5396.24
0,1,1,1,1,1,1,68,6,-1
1,1,1,1,1,0,0,168,7,-1
1,0,1,0,1,0,1,80,8,-1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,89.0,4.0,3655.85
1,1,0,1,1,1,0,210,3,-1
0,0,1,1,1,0,0,172,5,-1
1,1,0,1,0,0,0,53,4,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,213.0,8.0,5461.88
1,1,0,1,0,1,0,68,9,-1
1,0,1,1,0,0,0,65,6,-1
0,1,0,0,0,1,0,55,5,-1
0,1,0,1,1,1,1,199,3,-1
0,1,0,1,0,0,0,58,7,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,3.0,5557.23
0,1,0,1,0,1,1,209,6,-1
1,1,0,0,0,1,0,175,9,-1
0,1,1,1,0,0,1,179,1,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,4.0,5410.3
0,1,0,0,1,0,0,193,9,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,200.0,6.0,5540.58
1,1,0,1,1,1,0,171,9,-1
0,1,0,0,0,1,0,86,3,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,158.0,3.0,5481.99
0.0,0.0,0.0,0.0,0.0,1.0,1.0,197.0,7.0,3625.69
0,0,1,0,0,0,0,171,5,-1
0,1,1,0,1,0,1,56,6,-1
0,1,1,1,1,0,0,144,8,-1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,160.0,4.0,3631.7
1,1,1,0,0,0,0,177,4,-1
0,1,1,1,0,0,0,132,8,-1
1,1,0,0,0,1,1,86,4,-1
0,1,0,1,1,1,1,42,8,-1
0,1,1,0,1,1,0,137,2,-1
0,1,1,1,1,0,0,201,9,-1
1,0,0,1,0,1,0,205,5,-1
0,0,0,1,1,0,1,82,9,-1
1,0,0,0,1,0,0,57,5,-1
1,1,1,1,0,1,0,199,4,-1
1,0,1,1,1,0,0,43,6,-1
1,1,1,1,1,0,0,153,3,-1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,143.0,1.0,3870.26
1,0,0,0,0,0,0,212,6,-1
1,0,0,0,0,0,0,197,4,-1
1,0,1,1,1,0,0,57,3,-1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,228.0,1.0,5680.22
1,0,1,1,1,1,1,102,1,-1
0,1,0,0,0,0,0,151,7,-1
1,1,0,0,0,1,1,142,1,-1
1,0,0,1,0,1,1,137,3,-1
0,1,0,0,0,0,1,243,6,-1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,102.0,2.0,5497.96
