profile,qp,rc-lookahead,vbv-init,qpmax,ratetol,ipratio,pbratio,aq-mode,qcomp
high10,60,59,0.3360210820579035,15,0.7009205654830487,4262.422024262862,3252.336012969967,0,0.09073424207918801
main,47,217,0.2597042878749467,46,0.8991361389367659,3030.2482622695425,9511.219282936981,2,0.3798638960420623
high10,21,242,0.5227363706539951,19,0.4538958573891261,2020.9152168477297,8962.225246598753,0,0.6168257076056319
high422,6,67,0.6140315748636306,0,0.3273164944551794,5693.892527198233,9476.829905202154,0,0.17252618977895173
baseline,23,130,0.07475281120904476,32,0.5163355146804999,8051.096445483291,5891.945154024408,2,0.5312125553318715
high422,29,61,0.7557303606681324,34,0.2411263143776612,4069.9555862964667,6751.981050401343,0,0.8073109085408948
high422,13,112,0.6071891171084499,18,0.6252021855211144,1545.7130583663281,179.6037747404755,2,0.6397572264688601
high,56,190,0.0811144526529497,26,0.5472855666296316,8365.222804346855,4565.298979273521,2,0.5445233382312432
baseline,60,146,0.01531388790870647,3,0.21617615756896225,7273.304224258245,7423.050227900157,2,0.24125893609190585
high10,53,230,0.3201612476017828,36,0.37725428006807415,9198.395811566981,6910.113482312234,0,0.5922429587422263
high,21,41,0.9327263514753038,40,0.7261130303914302,3032.1247697251774,1746.3512771734468,1,0.49626151049977285
high422,8,125,0.7002936032017917,48,0.5770791286229652,3173.653528664806,9086.837350202952,1,0.07880467515629241
high444,13,105,0.11940479714589447,40,0.6238953539932476,1455.7183612254687,1204.3002092595557,0,0.4900977622570444
high444,19,225,0.19342882192323407,3,0.23075760587108496,1474.0390622770494,2015.5429684210035,2,0.8041750980333187
main,42,193,0.8344316046623682,36,0.9710278437327764,2103.472192712328,704.5350196734157,1,0.22571614831085252
baseline,25,53,0.3008372633013552,35,0.9696814140308554,1676.2933817345095,667.1057087598275,2,0.01640701111234044
high,67,209,0.2702707921357116,38,0.32095325213256287,9960.047878194313,5441.762822942588,2,0.754795432687467
high422,57,84,0.9986169103370912,37,0.604186178158732,297.8466777961808,2684.410224924445,0,0.2764016728948945
high444,0,149,0.2105419192952136,34,0.01710336996925954,991.5311080501565,3768.5453552968183,0,0.4381551845670616
high,21,202,0.08644189225967747,22,0.4828913069296009,140.7262641069673,849.799689073314,2,0.9810331317823986
baseline,64,201,0.2909750409654137,6,0.4887006120142062,9893.822574357708,4877.5261640323515,2,0.3496787015326348
high444,22,60,0.647746897658609,50,0.763766713244558,446.24915096682093,1552.1121770578739,0,0.10146047837167216
