no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0,1,1,1,1,1,1,104,5,-1
1,1,1,0,1,0,1,86,5,-1
1,1,0,0,1,1,1,122,2,-1
1,1,1,1,1,0,0,163,4,-1
0,1,0,0,0,0,1,44,8,-1
0,1,1,0,1,0,0,169,2,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,233.0,8.0,3642.11
1,1,1,1,0,1,0,41,6,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,215.0,3.0,5479.37
0,1,1,1,1,1,0,220,8,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,61.0,6.0,3650.41
1,1,1,1,0,0,0,121,7,-1
0,1,1,1,1,0,0,169,4,-1
0,1,0,0,1,1,0,166,2,-1
1,0,0,0,0,0,0,235,1,-1
1,1,0,0,0,1,1,50,2,-1
1,1,1,1,0,0,1,105,1,-1
0,0,1,1,0,0,0,205,4,-1
0,1,1,1,0,0,0,84,6,-1
1,0,1,1,0,1,1,204,2,-1
0,0,0,0,1,0,1,217,4,-1
0,1,1,1,0,1,0,61,3,-1
1,1,0,0,0,1,1,224,3,-1
1,0,1,1,1,1,1,134,6,-1
0,1,1,1,1,0,0,77,2,-1
1,1,0,0,1,0,0,71,9,-1
1,0,1,1,1,0,1,54,6,-1
0,0,0,0,1,0,0,42,7,-1
0,0,0,1,1,0,1,97,7,-1
1,0,0,0,0,0,0,202,4,-1
0,1,1,0,0,1,1,67,4,-1
1,0,1,1,1,1,1,94,8,-1
0,0,1,1,0,1,1,90,3,-1
1,1,0,0,0,0,1,43,1,-1
1,1,1,0,1,1,0,196,9,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,174.0,3.0,5481.99
0,0,1,1,1,1,1,223,1,-1
0,0,1,0,0,0,1,73,4,-1
0,1,0,1,0,0,0,230,6,-1
1,0,1,1,0,0,1,42,4,-1
1,1,0,0,0,1,0,102,2,-1
1,0,0,0,0,0,1,104,3,-1
0,1,1,0,1,1,0,108,4,-1
1,1,1,1,0,0,0,57,7,-1
1,0,0,0,0,0,1,119,4,-1
1,0,0,0,1,0,1,203,2,-1
1,0,0,0,0,0,1,62,7,-1
1,1,1,1,1,1,0,194,3,-1
0,1,1,0,0,1,1,111,1,-1
0,0,0,0,1,0,1,214,2,-1
0,1,1,1,0,1,0,109,6,-1
1,0,0,0,0,0,1,88,7,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,47.0,3.0,5481.99
0,1,1,1,0,1,1,113,8,-1
1,0,1,0,0,0,0,92,9,-1
0,0,1,1,0,1,1,46,6,-1
1,0,0,1,1,0,0,58,3,-1
0,0,0,1,0,0,1,174,9,-1
1,0,0,1,1,1,1,161,9,-1
1,1,1,1,0,0,1,111,9,-1
0,1,0,0,1,0,0,243,8,-1
1,1,1,0,0,0,1,229,7,-1
0,1,1,0,0,0,1,164,7,-1
0,1,1,0,0,1,0,170,3,-1
1,1,1,0,0,1,1,179,6,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,88.0,6.0,5400.28
1.0,0.0,0.0,0.0,1.0,1.0,0.0,111.0,2.0,5497.76
0,0,1,0,0,0,1,51,5,-1
